"date","book_title","author","publisher","category","this_week_position","last_week_position","total_weeks","full_text"
2025-01-05,"JAMES","Percival Everett","Doubleday.","Fiction",1,1,25,"1       JAMES, by Percival Everett. (Doubleday.) A reimagining of “Adventures of               1            25 Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim."
2025-01-05,"THE WOMEN","Kristin Hannah","St. Martin's.","Fiction",2,3,46,"2       THE WOMEN, by Kristin Hannah. (St. Martin's.) In 1965, a nursing student follows       3            46 her brother to serve during the Vietnam War and returns to a divided America."
2025-01-05,"WIND AND TRUTH","Brandon Sanderson","Tor.","Fiction",3,2,3,"3       WIND AND TRUTH, by Brandon Sanderson. (Tor.) The fifth book in the Stormlight          2            3 Archive series. The fate of the Cosmere is imperiled as the fighting and chaos reach an apex."
2025-01-05,"THE GOD OF THE WOODS","Liz Moore","Riverhead.","Fiction",4,5,23,"4       THE GOD OF THE WOODS, by Liz Moore. (Riverhead.) When a 13-year-old girl               5            23 disappears from an Adirondack summer camp in 1975, secrets kept by the Van Laar family emerge."
2025-01-05,"COUNTING MIRACLES","Nicholas Sparks","Random House.","Fiction",5,7,13,"5       COUNTING MIRACLES, by Nicholas Sparks. (Random House.) A man in search                 7            13 of the father he never knew encounters a single mom and rumors circulate of the nearby appearance of a white deer."
2025-01-05,"THE HOUSE OF CROSS","James Patterson","Little, Brown.","Fiction",6,4,4,"6       THE HOUSE OF CROSS, by James Patterson. (Little, Brown.) The 33rd book in              4            4 the Alex Cross series. Three candidates to the Supreme Court are violently attacked."
2025-01-05,"IRON FLAME","Rebecca Yarros","Red Tower.","Fiction",7,8,59,"7       IRON FLAME, by Rebecca Yarros. (Red Tower.) The second book in the                     8            59 Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves."
2025-01-05,"SMALL THINGS LIKE THESE","Claire Keegan","Grove.","Fiction",8,6,4,"8       SMALL THINGS LIKE THESE, by Claire Keegan. (Grove.) A coal merchant                    6            4 discovers something that causes turmoil in a small Irish town controlled by the church in 1985; the basis of the film."
2025-01-05,"WICKED","Gregory Maguire","Morrow.","Fiction",9,9,4,"9       WICKED, by Gregory Maguire. (Morrow.) A misunderstood girl named Elphaba is            9            4 declared a witch; the basis of the musical and the film. (Collector's edition.)"
2025-01-05,"THE WEDDING PEOPLE","Alison Espach","Holt.","Fiction",10,14,8,"10       THE WEDDING PEOPLE, by Alison Espach. (Holt.) A woman who is down on her               14           8 luck forms an unexpected bond with the bride at a wedding in Rhode Island."
2025-01-05,"INTERMEZZO","Sally Rooney","Farrar, Straus and Giroux.","Fiction",11,15,11,"11       INTERMEZZO, by Sally Rooney. (Farrar, Straus and Giroux.) After the passing of         15           11 their father, seemingly different brothers engage in relationships and seek ways to cope."
2025-01-05,"TO DIE FOR","David Baldacci","Grand Central.","Fiction",12,10,6,"12       TO DIE FOR, by David Baldacci. (Grand Central.) The third book in the 6:20 Man         10           6 series. Devine digs into the deaths of an orphan’s parents and uncovers a large conspiracy."
2025-01-05,"NOW OR NEVER","Janet Evanovich","Atria.","Fiction",13,11,5,"13       NOW OR NEVER, by Janet Evanovich. (Atria.) The 31st book in the Stephanie              11           5 Plum series. Caught between two fiancés and not knowing what to do, Plum gets back to business as a bounty hunter."
2025-01-05,"FOURTH WING","Rebecca Yarros","Red Tower.","Fiction",14,NA,76,"14       FOURTH WING, by Rebecca Yarros. (Red Tower.) Violet Sorrengail is urged by             --           76 the commanding general, who also is her mother, to become a candidate for the elite dragon riders."
2025-01-05,"REMARKABLY BRIGHT CREATURES","Shelby Van Pelt","Ecco.","Fiction",15,NA,57,"15       REMARKABLY BRIGHT CREATURES, by Shelby Van Pelt. (Ecco.) A widow                       --           57 working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there. Hawes Publications                                                                                      www.hawes.com"
2025-01-05,"MELANIA","Melania Trump","Skyhorse.","Nonfiction",1,1,11,"1      MELANIA, by Melania Trump. (Skyhorse.) The former and future first lady describes       1        11 her work as a fashion model, marriage to Donald Trump and time in the White House."
2025-01-05,"FRAMED","John Grisham and Jim McCloskey","Doubleday.","Nonfiction",2,4,10,"2      FRAMED, by John Grisham and Jim McCloskey. (Doubleday.) Our criminal justice            4        10 system viewed through the struggles of 10 wrongfully convicted people to achieve exoneration."
2025-01-05,"BE READY WHEN THE LUCK HAPPENS","Ina Garten","Crown.","Nonfiction",3,3,12,"3      BE READY WHEN THE LUCK HAPPENS, by Ina Garten. (Crown.) A memoir by the                 3        12 cookbook author and Food Network host known as the Barefoot Contessa."
2025-01-05,"CHER: THE MEMOIR, PART ONE","Cher","Dey Street.","Nonfiction",4,2,5,"4      CHER: THE MEMOIR, PART ONE, by Cher. (Dey Street.) In the first part of her             2        5 memoir, the multiple award-winning pop culture icon traces her childhood and forays into the world of entertainment."
2025-01-05,"THE ANXIOUS GENERATION","Jonathan Haidt","Penguin Press.","Nonfiction",5,5,39,"5      THE ANXIOUS GENERATION, by Jonathan Haidt. (Penguin Press.) A co-author of              5        39 “The Coddling of the American Mind” looks at the mental health impacts that a phone- based life has on children."
2025-01-05,"THE DEMON OF UNREST","Erik Larson","Crown.","Nonfiction",6,8,25,"6      THE DEMON OF UNREST, by Erik Larson. (Crown.) The author of “The Splendid and           8        25 the Vile” portrays the months between the election of Abraham Lincoln and the beginning of the Civil War."
2025-01-05,"THE SERVICEBERRY","Robin Wall Kimmerer","Scribner.","Nonfiction",7,6,5,"7      THE SERVICEBERRY, by Robin Wall Kimmerer. (Scribner.) The author of “Braiding           6        5 Sweetgrass” illuminates how the gift economy in the natural world works and draws lessons for our economy; with illustrations by John Burgoyne."
2025-01-05,"REVENGE OF THE TIPPING POINT","Malcolm Gladwell","Little, Brown.","Nonfiction",8,9,12,"8      REVENGE OF THE TIPPING POINT, by Malcolm Gladwell. (Little, Brown.) Through a           9        12 series of stories, Gladwell explicates the causes of various kinds of epidemics."
2025-01-05,"CONFRONTING THE PRESIDENTS","Bill O'Reilly and Martin Dugard","St. Martin's.","Nonfiction",9,7,15,"9      CONFRONTING THE PRESIDENTS, by Bill O'Reilly and Martin Dugard. (St.                    7        15 Martin's.) The conservative commentator evaluates the legacies of American presidents."
2025-01-05,"THE SMALL AND THE MIGHTY","Sharon McMahon","Thesis.","Nonfiction",10,15,8,"10      THE SMALL AND THE MIGHTY, by Sharon McMahon. (Thesis.) A former high school             15       8 government and law teacher profiles lesser-known Americans who made an impact."
